album,title,singer,timespan,lyrics
Blood Mountain,crystal-skull,Troy Sanders,13, Running through the darkness Holding hearts in my eyes Falling short of gauntlet Covered in blood-sucking flies 
Blood Mountain,crystal-skull,Scott Kelly,35, The touch is cold I tore a path screaming through wind and blood I will it all Burning deep in my skull 
Blood Mountain,hand-of-stone,Troy Sanders,12, No one sees the difference in the land Where the sky meets earth Form horizons 
Blood Mountain,hand-of-stone,Brent Hinds,9, Hand of stone Arm of strength Nature's fire Fist of gold 
Blood Mountain,hand-of-stone,Troy Sanders,20, Venom stains the lips and burns the tongue With vengeance and hatred Extremities forged in nature's fire Unrelenting vigor Carve the future 
Blood Mountain,hand-of-stone,Brent Hinds,17, Feast or famine Drink deception The wells run dry The need for temptation 
Blood Mountain,hand-of-stone,Brent Hinds,10, Falling through brain field Head for divide 
Blood Mountain,hand-of-stone,Troy Sanders,19, The hand matches The hand that leads the way To kill the shepherd Just to see his face Heed the warning Ingest the rotten bone The hand that falters The hand that turns to stone 
Blood Mountain,hand-of-stone,Troy Sanders,20, Chew on the root that gives us sight Cranium shatters Feed the needles as they fall The truth The mask Brain divided 
Blood Mountain,hunters-of-the-sky,Troy Sanders,10, Running faster than I ever have Evading sharks of the sky Death trap and I kill again Dig through my own hives 
Blood Mountain,hunters-of-the-sky,Brent Hinds,10, Shelter from sky Talon of raptor 
Blood Mountain,hunters-of-the-sky,Troy Sanders,9, Force-fed glass giant moth Reaping fields of the flesh Heavy hand thwart the scheme Of the dominant nymph 
Blood Mountain,hunters-of-the-sky,Brent Hinds,10, Omen she brings Carried on weathered wings 
Blood Mountain,hunters-of-the-sky,Troy Sanders,18, Fly reptile Leather wings Bones hollow Petrified 
Blood Mountain,hunters-of-the-sky,Troy Sanders,17, Fly reptile Leather wings Bones hollow Petrified 
Blood Mountain,hunters-of-the-sky,Troy Sanders,4, Running faster than I ever have Evading sharks of the sky 
Blood Mountain,hunters-of-the-sky,Troy Sanders,16, The earth's ashing floats What is good for man Cast us out into the known 
Blood Mountain,pendulous-skin,Brent Hinds,127, Yeah Float away Known so low You run away Desolate us Desolate all No love is lost You know we're weightless Climb Under my wing Climb Known so low You run away Desolate us Desolate all No love is lost You know we're weightless Climb Under my wing Climb Known so low You run away Desolate us Desolate all 
Blood Mountain,pendulous-skin,Brent Hinds,22, Grown so slow You run away Desolate us I'm sailing away 
Blood Mountain,siberian-divide,Troy Sanders,18, Ice god shakes the earth Destruction of the path Sinking deeper in the snow Eating bark with blackened hands Swollen fingers frozen jaw Warm teeth wrapped around my wrist 
Blood Mountain,siberian-divide,Brent Hinds,16, Frostbite eating away at our limbs Slit the belly brontotherium Climb towards vermilion snowbank fall Station of the crosses prayer save all 
Blood Mountain,siberian-divide,Troy Sanders,16, Chewing bone Euphoria Land and sky Shining skull 
Blood Mountain,siberian-divide,Brent Hinds,17, Ice field blanket land Hunted beyond the fray No direction known Running with the band Provisions wearing thin Avalanche sweeps the land 
Blood Mountain,siberian-divide,Troy Sanders,20, Starvation setting in Spilling all that's left Should've kept the fruits from virgin's vine Three-horned face Pillar of red Evil lives atop my crooked spine 
Blood Mountain,siberian-divide,Brent Hinds,16, Rosebush current flow Carmine river go Solar storms erupt on the sun Ice fields blanket land 
Blood Mountain,siberian-divide,Troy Sanders,20, Snow queen Hypothermia Ice lips Hallucination 
Blood Mountain,siberian-divide,Guest,15, Ice field blanket land Hunted beyond the fray No direction known Running with the band Provisions wearing thin Avalanche sweeps the land 
Blood Mountain,siberian-divide,Brent Hinds,14, Landscape ebb 'n' flow Think I felt the end of time Skulls aglow as crystal shines And starts to warm the empty climb 
Blood Mountain,sleeping-giant,Brent Hinds,21, Earth has burst Mountain flames Moon beheld Father snake Mind control Has left its nest 
Blood Mountain,sleeping-giant,Troy Sanders,4, Shame on 
Blood Mountain,sleeping-giant,Brent Hinds,20, Bulls roar loud The fearless fall Wooden vessel Broken wings Caught my killer In my grave 
Blood Mountain,sleeping-giant,Troy Sanders,4, Shame on 
Blood Mountain,sleeping-giant,Brent Hinds,20, Eyes of grace Kill again Trapped in maze Trembling fear Head scorched brow Perish the land 
Blood Mountain,sleeping-giant,Troy Sanders,4, Shame on 
Blood Mountain,sleeping-giant,Troy Sanders,15, A vast calm wilderness The call to adventure comes 
Blood Mountain,sleeping-giant,Troy Sanders,13, Lead and land atop this rock Infinite path carved with unrivaled skill 
Blood Mountain,this-mortal-soil,Troy Sanders,34, Floating in red again A deepened soil Nothing Empty cup Trade not known 
Blood Mountain,this-mortal-soil,Brent Hinds,16, Showing promise of a perfect land No regrets for a fallen ground The omen passed Woman possessed Reflect on the duties held 
Blood Mountain,this-mortal-soil,Troy Sanders,21, Oceans morph to dust Chasing the timeline Bolts of light flash Original storm god 
Blood Mountain,this-mortal-soil,Brent Hinds,17, The atmosphere that floats above the earth Is corrupt for man This we know What has dwelt within the early dawn has gone away That's okay 
Blood Mountain,this-mortal-soil,Troy Sanders,16, Dig Climb Ancient elm Root Ride the vine of father ground our carving 
Blood Mountain,this-mortal-soil,Troy Sanders,12, Dig Climb Ancient elm Root Ride the vine of father ground our carving 
Blood Mountain,this-mortal-soil,Brent Hinds,6, The atmosphere that floats above the earth is corrupt for man This we know 
Blood Mountain,this-mortal-soil,Troy Sanders,26, Circle Made of ash Betray her presence Huntress Gentle breath Listen to the poison rose 
Blood Mountain,wolf-is-loose,Brent Hinds,9, The hero of the gods The crossing of the threshold The belly of the whale Refusal of return 
Blood Mountain,wolf-is-loose,Troy Sanders,10, Hollow eyes Dry pale legs Howling on Through fields and graves 
Blood Mountain,wolf-is-loose,Brent Hinds,10, Language of the signs Symbols to our sight Guardian to thy throne Take on form 
Blood Mountain,wolf-is-loose,Troy Sanders,10, Daylight Hide the skin Cut it off Scatter ash in the wind 
Blood Mountain,wolf-is-loose,Brent Hinds,22, Shapeshifter rolling on winds of tyrants make Fierce lore of fanged horn Danger all the way Night's sea reflection The faces of bodies slain Returning to the form of natural human's fate 
Blood Mountain,wolf-is-loose,Troy Sanders,15, Grown from the cold Spirits unclean Dealer of the days The ice will thaw 
Blood Mountain,wolf-is-loose,Brent Hinds,16, As the soldier walks through the crimson side Researchers of aftermath Dispelling disarming man One-toed horses subject of Genesis And the immigrants 
Blood Mountain,wolf-is-loose,Brent Hinds,10, Fundamental side of a human mind Hulder folk and fairies So believe 
Blood Mountain,wolf-is-loose,Brent Hinds,9, The hero of the gods The crossing of the threshold The belly of the whale Refusal of return 
Crack the Skye,crack-the-skye,Scott Kelly,14,  Blessed visionary cut me with your sun  The rivers ran in blood  Spark fueled to fire  
Crack the Skye,crack-the-skye,Brann Dailor,15,  Deep within this endless void  Searching for a sign  
Crack the Skye,crack-the-skye,Scott Kelly,17,  The vessel forged inside of me  Watches over  Like the death of the moon  
Crack the Skye,crack-the-skye,Brann Dailor,15,"  Strike the shepherd, sheep will scatter  Mountains of despair  "
Crack the Skye,crack-the-skye,Troy Sanders,8,  I can see the pain  It's written all over your face  
Crack the Skye,crack-the-skye,Scott Kelly,15,  The screaming arrows tear through my soul  In the dawn your face is haunting  White ghostly dreams of old  
Crack the Skye,crack-the-skye,Brann Dailor,15,  Weight of world is on your shoulder  Hear the voice of gold  
Crack the Skye,crack-the-skye,Troy Sanders,15,  Weight of world is on your shoulder  Hear the voice of gold  
Crack the Skye,crack-the-skye,Troy Sanders,8,  I can see the pain  It's written all over your face  
Crack the Skye,crack-the-skye,Brann Dailor,12,  Desperate heathens flock to sirens  Guard your heartache well  
Crack the Skye,crack-the-skye,Troy Sanders,12,  Desperate heathens flock to sirens  Guard your heartache well  
Crack the Skye,crack-the-skye,Scott Kelly,15,  Momma don't let them take her  Don't let them take her down  At least alone  
Crack the Skye,crack-the-skye,Brann Dailor,15,  Please tell Lucifer he can't have this one  Her spirit's too strong  
Crack the Skye,crack-the-skye,Troy Sanders,15,  Please tell Lucifer he can't have this one  Her spirit's too strong  
Crack the Skye,crack-the-skye,Troy Sanders,17,  I can see the pain  It's written all over your face  I can see the pain  You can make it all go away 
Crack the Skye,divinations,Brent Hinds,26, It's gone away  It's gone away  It's gone for good  Animal spirits come calling me home  Through the tunnels of brilliant light  The magnet of wisdom is pulling  Burrowing faster the fabric of time  
Crack the Skye,divinations,Troy Sanders,14, No escape  Binding spirits  No escape  Trapped in time space  
Crack the Skye,divinations,Brent Hinds,27, Rapid descendants  The wormhole is empty  The center of Khlysty surrounds me  The fire is dancing in a silvery sheet of breath  Black robe  Necromancing  Summon the soul of the spectre  
Crack the Skye,divinations,Troy Sanders,14, No escape  Binding spirits  No escape  Trapped in time space  
Crack the Skye,divinations,Troy Sanders,14, Fire in the eye  Realm of mystic majesty  
Crack the Skye,divinations,Troy Sanders,13, No escape  Binding spirits  No escape  Trapped in time space  
Crack the Skye,divinations,Troy Sanders,19, Fire in the eye Realm of mystic majesty 
Crack the Skye,ghost-of-karelia,Troy Sanders,15, Wrathful ones nine eyes gaze  Holding skulls  Filled and laced  With human blood  
Crack the Skye,ghost-of-karelia,Troy Sanders,12, Wrathful ones nine eyes gaze  Holding skulls  Filled and laced  With human blood  
Crack the Skye,ghost-of-karelia,Troy Sanders,83, Shades of darkened skies Emptiness Twilight holding through Offering Life in zenith Bulls blood shot eyes Flattened portrait of the night sky Feel crust hum Facing the North Vapor space Between heaven and Earth Wisdom and the knower A planet collide Divisible we fall Hear dirt waves Wading forth Vapor space How long has it been since we flew through the shadows I have walked on many other planets 
Crack the Skye,ghost-of-karelia,Troy Sanders,12, How long has it been since we flew through the shadows I have walked on many other planets 
Crack the Skye,ghost-of-karelia,Troy Sanders,27, Sinister twin Choking on fear Bonded iron Sink to the core Hear dirt waves Wading forth Vapor space 
Crack the Skye,ghost-of-karelia,Troy Sanders,19, Shades of darkened skies Emptiness Twilight holding through Offering 
Crack the Skye,ghost-of-karelia,Troy Sanders,14, Wrathful ones nine eyes gaze Holding skulls Filled and laced With human blood 
Crack the Skye,oblivion,Brann Dailor,21,  I flew beyond the sun before it was time  Burning all the gold that held me inside my shell  Waiting for you to pull me back in  I almost had the world in my sight  
Crack the Skye,oblivion,Troy Sanders,22,"  Lost love, bright eyes fading  Faster than stars falling  How can I tell you that I've failed?  Tell you I failed  "
Crack the Skye,oblivion,Brent Hinds,20,  Falling from grace 'cause I've been away too long Leaving you behind with my lonesome song  Now I'm lost in oblivion  
Crack the Skye,oblivion,Brann Dailor,20,"  I tried to burrow a hole into the ground  Breaking all the fingers and the nails from my hands  The eyes of a child see no wrong  Ignorant bliss, impending doom  "
Crack the Skye,oblivion,Troy Sanders,22,"  Lost love, bright eyes fading  Faster than stars falling  How can I tell you that I've failed? Tell you I failed  "
Crack the Skye,oblivion,Brent Hinds,38,  Falling from grace 'cause I've been away too long  Leaving you behind with my lonesome song  Now I'm lost  Falling from grace 'cause I've been away too long  Leaving you behind with my lonesome song  Now I'm lost in oblivion  
Crack the Skye,oblivion,Brent Hinds,39,  Falling from grace 'cause I've been away too long  Leaving you behind with my lonesome song  Now I'm lost  Falling from grace 'cause I've been away too long  Leaving you behind with my lonesome song  Now I'm lost in oblivion  
Crack the Skye,oblivion,Brent Hinds,15, In oblivion  In oblivion 
Crack the Skye,quintessence,Brent Hinds,40, The demon skin is covered in fine mist  Opened his hand in my hand  Holding my eyes to the future  Hovering above myself  Letting loose the guided  Punching these holes in my head  The space time paradigm  
Crack the Skye,quintessence,Brann Dailor,17, Omnipresence  Primal instincts  
Crack the Skye,quintessence,Brent Hinds,7, Letting go  Letting go  Letting go  Letting go  Letting go  
Crack the Skye,quintessence,Troy Sanders,18, Calling reason  Finding you  These wild hearts run  Even deeper  Burning through  These wild hearts run  
Crack the Skye,quintessence,Brent Hinds,12, Letting go  Letting go  Letting go  Letting go  Letting go  
Crack the Skye,quintessence,Troy Sanders,12, Letting go  Letting go  Letting go  Letting go  Letting go  
Crack the Skye,quintessence,Brent Hinds,37, Letting me free the quintessence  In fine mist  Opened his hand in center  Holding my eyes to the future  Hovering above myself  Letting loose the guided  Punching these holes in my head  Losing my skin to the landslide  
Crack the Skye,quintessence,Brann Dailor,19, Omnipresence  Primal instincts  
Crack the Skye,quintessence,Brent Hinds,19, Omnipresence  Primal instincts  
Crack the Skye,quintessence,Brent Hinds,7, Letting go  Letting go  Letting go  Letting go  Letting go  
Crack the Skye,quintessence,Troy Sanders,7, Letting go  Letting go  Letting go  Letting go  Letting go  
Crack the Skye,quintessence,Troy Sanders,18, Calling reason  Finding you  These wild hearts run  Even deeper  Burning through  These wild hearts run  
Crack the Skye,quintessence,Brent Hinds,12, Letting go  Letting go  Letting go  Letting go  Letting go  
Crack the Skye,quintessence,Troy Sanders,12, Letting go  Letting go  Letting go  Letting go  Letting go  
Crack the Skye,quintessence,Troy Sanders,36, Shield failure  Speed farewell  Shield failure  Speed farewell 
Crack the Skye,the-czar,Brent Hinds,35," Don't stay, run away  He has ordered assassination  Don't stay, run away  The henchmen are gathered and waiting  Don't stay, run away  Your role as usurper is found out  Don't stay, run away  Czarina has warned of the danger  "
Crack the Skye,the-czar,Troy Sanders,35," Don't stay, run away  He has ordered assassination  Don't stay, run away  The henchmen are gathered and waiting  Don't stay, run away  Your role as usurper is found out  Don't stay, run away  Czarina has warned of the danger  "
Crack the Skye,the-czar,Brent Hinds,16, It's your own fault  This is what we wanted  It's your own fault  This is where we lay 
Crack the Skye,the-czar,Troy Sanders,16, It's your own fault  This is what we wanted  It's your own fault  This is where we lay 
Crack the Skye,the-czar,Brent Hinds,32," Don't stay, run away  He has ordered assassination  Don't stay, run away  The henchmen are gathered and waiting  Don't stay, run away  Your role as usurper is found out  Don't stay, run away  Czarina has warned of the danger "
Crack the Skye,the-czar,Troy Sanders,32," Don't stay, run away  He has ordered assassination  Don't stay, run away  The henchmen are gathered and waiting  Don't stay, run away  Your role as usurper is found out  Don't stay, run away  Czarina has warned of the danger "
Crack the Skye,the-czar,Brent Hinds,16, It's your own fault  This is what we wanted  It's your own fault  This is where we lay  
Crack the Skye,the-czar,Troy Sanders,16, It's your own fault  This is what we wanted  It's your own fault  This is where we lay  
Crack the Skye,the-czar,Troy Sanders,18, By the light of the moon  You must escape into the deep black of the night  Fight the devil inside  Enemies poison deep within my second sight  Wasting valuable time  
Crack the Skye,the-czar,Brent Hinds,2, Ride the tides of blood  
Crack the Skye,the-czar,Troy Sanders,2, Illumination  
Crack the Skye,the-czar,Brent Hinds,2, Beauties sudden hand  
Crack the Skye,the-czar,Troy Sanders,2, Shattered crown 
Crack the Skye,the-czar,Brent Hinds,2, Stretching arms up high 
Crack the Skye,the-czar,Troy Sanders,2, We're on our way now  
Crack the Skye,the-czar,Brent Hinds,5, Leave the Czar to die  
Crack the Skye,the-czar,Troy Sanders,18, By the light of the moon  You must escape into the deep black of the night  Fight the devil inside  Enemies poison deep within my second sight  Wasting valuable time  
Crack the Skye,the-czar,Brent Hinds,3, Ride the tides of blood  
Crack the Skye,the-czar,Troy Sanders,1, Illumination  
Crack the Skye,the-czar,Brent Hinds,3, Beauties sudden hand  
Crack the Skye,the-czar,Troy Sanders,1, Shattered crown 
Crack the Skye,the-czar,Brent Hinds,3, Stretching arms up high 
Crack the Skye,the-czar,Troy Sanders,1, We're on our way now  
Crack the Skye,the-czar,Brent Hinds,3, Leave the Czar to die  
Crack the Skye,the-czar,Brent Hinds,32, Spiraling up through the crack in the sky  Leaving material world behind  I see your face in constellations  The martyr is ending his life for mine 
Crack the Skye,the-last-baron,Brent Hinds,15, I'd guess they would say We could set this world ablaze 
Crack the Skye,the-last-baron,Troy Sanders,5," Please, please take my hand, please take my soul to rest "
Crack the Skye,the-last-baron,Brent Hinds,32, So we can always be around It is hard to see Through all the haze at the top of the trees Hold my head on stable ground Watch as the Earth falls all around 
Crack the Skye,the-last-baron,Troy Sanders,5," Please, please take my hand, please take my soul to rest "
Crack the Skye,the-last-baron,Brent Hinds,34," So we can always be around Faltering footsteps, dead end path All that I need is this wise man's staff Encased in crystal, he leads the way I guess they'd say we could set the world ablaze "
Crack the Skye,the-last-baron,Troy Sanders,5," Please, please take my hand, please take my soul to rest "
Crack the Skye,the-last-baron,Brent Hinds,27, So we can always be around I guess they would say We can set the world ablaze Hold my head on stable ground Watch as the Earth falls all around 
Crack the Skye,the-last-baron,Brent Hinds,15, Take my black soul Alive in the fires that burn my skin Guide my eyes all through this maze I guess they'd say we could set the world ablaze 
Crack the Skye,the-last-baron,Brent Hinds,23," All that I have seen Standing on the edge, the foot of precipice Floating in the sea Past the king of swords, quickly to the shore The last baron The last baron "
Crack the Skye,the-last-baron,Guest,21, Ghost of man Surrounds me in my slumber I have no fear As your wing is my shelter 
Crack the Skye,the-last-baron,Brent Hinds,23," Cyanide he craves Coursing through his veins, providing him with strength To see this to the end Afraid of psychic eyes, faith in mystic power The last baron The last baron "
Crack the Skye,the-last-baron,Troy Sanders,12, Will he save me? Will he save me? 
Crack the Skye,the-last-baron,Brent Hinds,10, I was standing staring at the world And I can't see it I was standing staring at the world And I can't see it 
Crack the Skye,the-last-baron,Brent Hinds,10, I was standing staring at the world And I can't see it I was standing staring at the world And I still can't see it 
Crack the Skye,the-last-baron,Brent Hinds,15, I was standing staring at the world And I can't see it I was standing staring at the world And I still can't see it 
Crack the Skye,the-last-baron,Brent Hinds,22," All that I have seen Standing on the edge, the foot of precipice Floating in the sea Past the king of swords, quickly to the shore The last baron The last baron "
Crack the Skye,the-last-baron,Troy Sanders,18, Ghost of man Surrounds me in my slumber I have no fear As your wing is my shelter 
Crack the Skye,the-last-baron,Brent Hinds,22," Cyanide he craves Coursing through his veins, providing him with strength To see this to the end Afraid of psychic eyes, faith in mystic power The last baron The last baron "
Crack the Skye,the-last-baron,Troy Sanders,8, Will he save me? 
Crack the Skye,the-last-baron,Troy Sanders,14, Will he save me? Will he save me? 
Crack the Skye,the-last-baron,Brent Hinds,13, I'd guess they would say We could set this world ablaze 
Crack the Skye,the-last-baron,Troy Sanders,6," Please, please take my hand, please take my soul to rest "
Crack the Skye,the-last-baron,Brent Hinds,-569, So we can always be around It is hard to see Through all the haze at the top of the trees Hold my head on stable ground Watch as the Earth falls all around 
Crack the Skye,the-last-baron,Troy Sanders,5," Please, please take my hand, please take my soul to rest "
Crack the Skye,the-last-baron,Brent Hinds,34," So we can always be around Faltering footsteps, dead end path All that I need is this wise man's staff Encased in crystal, he leads the way I guess they'd say we could set the world ablaze "
Emperor of Sand,ancient-kingdom,Brann Dailor,23,  When the Sultan gives orders to take your head  You must ride the winds to safety or you'll wind up dead  Through the evil and darkness you make your stand  Only skeletons of war will guide you by the hand  
Emperor of Sand,ancient-kingdom,Troy Sanders,12,  Silence growing loud  Failure is not allowed  
Emperor of Sand,ancient-kingdom,Brann Dailor,11,  The battle that rages before my eyes  Is no different than the one that lives inside my head  
Emperor of Sand,ancient-kingdom,Troy Sanders,37,  Silence growing loud  Failure is not allowed  Ancient Kingdom still remains  Crumble slowly  Ride beyond mortality  Leaving beauty now  
Emperor of Sand,ancient-kingdom,Brent Hinds,31,  Falling rain sensing pain of mind  Falling rain sensing pain of mind  Pain of mind   
Emperor of Sand,ancient-kingdom,Brent Hinds,35,  Falling rain sensing pain of mind  Falling rain sensing pain of mind  Pain of mind  
Emperor of Sand,ancient-kingdom,Troy Sanders,64,"  Silence growing loud  Failure is not allowed  Ancient Kingdom still remains  Crumble slowly  Ride beyond mortality  Leaving beauty now  Sparks explode into the air  Live forever  Ageless sounds, they never die  And I will remain "
Emperor of Sand,andromeda,Troy Sanders,24,  It never ends  The game isn't done  I feel the crawling and haunting upon us until you listen  It never ends  Enough is enough  Taking your essence and use it to strengthen their own flesh and blood  
Emperor of Sand,andromeda,Brann Dailor,24,  Time watching as the sand flows through glass  Light calls to me from future and from past  This kills me to know  We cannot learn  
Emperor of Sand,andromeda,Troy Sanders,18,  It never ends  The ink isn't dry  The Great Consolation has written a second lease on your life  The Great Consolation has granted a second lease on your life  
Emperor of Sand,andromeda,Brann Dailor,26,  Light watching as the sand flows through glass  Time calls to me from future and from past  This kills me to know  We cannot learn  
Emperor of Sand,andromeda,Troy Sanders,26,  Light watching as the sand flows through glass  Time calls to me from future and from past  This kills me to know  We cannot learn  
Emperor of Sand,andromeda,Brann Dailor,13,"  Time watching as the sand flows through glass (Time is moving as sand's flowing) Light calls to me from future and from past (Light is blinding, radiating) "
Emperor of Sand,andromeda,Troy Sanders,13,"  Time watching as the sand flows through glass (Time is moving as sand's flowing) Light calls to me from future and from past (Light is blinding, radiating) "
Emperor of Sand,andromeda,Troy Sanders,9,"  It never ends, it never ends, it never ends  "
Emperor of Sand,andromeda,Guest,18,"  Chronic illusions confusing conclusions  Foster the culture, predict the deception  Chronic delusions with caustic solutions "
Emperor of Sand,clandestiny,Troy Sanders,12,  Silent all your life  Running without vision  Hollowed out inside  Wronging all that's right  
Emperor of Sand,clandestiny,Brent Hinds,21,  There's no cause to be alarmed  And no reason to escape from us  There's no illness and no pain  And no thought of any suffering  
Emperor of Sand,clandestiny,Troy Sanders,9,"  The road is long and bare  No clarity, no light  The moment came and swallowed us  Blinding all our sight  "
Emperor of Sand,clandestiny,Brent Hinds,21,  We will keep you free from harm  All you have to do is stand with us  I will mend your wounded heart  And restore the trust that you have lost  
Emperor of Sand,clandestiny,Troy Sanders,23,  Give your life  So I can breathe  Save our lives  It's all we need  
Emperor of Sand,clandestiny,Brent Hinds,23,  Give your life  So I can breathe  Save our lives  It's all we need  
Emperor of Sand,clandestiny,Brent Hinds,21,  We can lead you underground  And devour your humanity  Follow heat and follow sound  To the end of your insanity  
Emperor of Sand,clandestiny,Troy Sanders,48,  Give your life  So I can breathe  Save our lives  It's all we need  Give your life  So I can breathe  Save our lives  It's all we need 
Emperor of Sand,clandestiny,Brent Hinds,48,  Give your life  So I can breathe  Save our lives  It's all we need  Give your life  So I can breathe  Save our lives  It's all we need 
Emperor of Sand,jaguar-god,Brent Hinds,89,  I ain't no good  And I live by the wood  They say I ain't bad  I'm the best they have had  And I know it ain't right  But I'll fight my whole life Just to prove that I was right  The day it went down  I was out on my path  Not feeling so bad  I'm a suspect now  I'm a vagabond tramp  Living out on the lam  I live by the woods  They say I ain't bad  I'm the best that I've had  And I know it ain't right  But I'll fight my whole life  Just to prove that I was right  
Emperor of Sand,jaguar-god,Brann Dailor,61,"  Terrestrial fire ascending from underground  Godspeed divine  So we control the mound  Shape shifter, spirits whisper  Guide me through this black sorcery  Flashing teeth  Aggressive tendencies  Cloaked beneath  Silver redeems  Smoking mirrors  Black obsidian  Tell us where to find the marrow  "
Emperor of Sand,jaguar-god,Troy Sanders,20,  The prophecy  Will be realized  Lord of the near and the nigh  Possessor of earth and sky  
Emperor of Sand,jaguar-god,Brann Dailor,13,  Guard your temple  From destruction  Make sure no one goes inside  
Emperor of Sand,jaguar-god,Troy Sanders,22,  The prophecy  Will be realized  Lord of the near and the nigh  Possessor of earth and sky  
Emperor of Sand,jaguar-god,Troy Sanders,15,  It's right in front of me  The throne of maladies  It's right in front of me  Your malignancy  
Emperor of Sand,jaguar-god,Troy Sanders,14,  It's right in front of me  The throne of maladies  It's right in front of me  Your malignancy  
Emperor of Sand,jaguar-god,Troy Sanders,13,  It's right in front of me  The throne of maladies  It's right in front of me  Your malignancy 
Emperor of Sand,precious-stones,Brent Hinds,21,  I hope the sun shows the way  Don't crush my spirit today  Reveal your precious stones  So I can help myself  
Emperor of Sand,precious-stones,Brann Dailor,21,  Don't waste your time  Don't let it slip away from you  Don't waste your time  If it's the last thing that you do  
Emperor of Sand,precious-stones,Troy Sanders,21,  Don't waste your time  Don't let it slip away from you  Don't waste your time  If it's the last thing that you do  
Emperor of Sand,precious-stones,Brent Hinds,22,  I dig through bone and skull  Imagine black emerald  I'm covered head to toe  With diamonds in the rough  
Emperor of Sand,precious-stones,Brann Dailor,22,  Don't waste your time  Don't let it slip away from you  Don't waste your time  If it's the last thing that you do  
Emperor of Sand,precious-stones,Troy Sanders,22,  Don't waste your time  Don't let it slip away from you  Don't waste your time  If it's the last thing that you do  
Emperor of Sand,precious-stones,Brent Hinds,28,"  These snakes have nothing to say  I want their heads right away  I sharpen every blade  And I give them all to you  Yeah, I give them all to you  "
Emperor of Sand,precious-stones,Brent Hinds,11, You're in my head  You're in my head again 
